bairro,populacao,percentual_cidade,bairro_norm
Restinga,62448,4.69,restinga
Lomba do Pinheiro,59200,4.44,lomba do pinheiro
Sarandi,51539,3.87,sarandi
Mário Quintana,44068,3.31,mario quintana
Partenon,43587,3.27,partenon
Petrópolis,37613,2.82,petropolis
Santa Rosa de Lima,34627,2.6,santa rosa de lima
Vila Nova,32217,2.42,vila nova
Santa Tereza,31358,2.35,santa tereza
Centro Histórico,30569,2.29,centro historico
Hípica,28643,2.15,hipica
Menino Deus,27961,2.1,menino deus
Rubem Berta,27930,2.1,rubem berta
Cavalhada,25209,1.89,cavalhada
Cristal,24851,1.86,cristal
Bom Jesus,24589,1.84,bom jesus
Vila São José,24011,1.8,vila sao jose
Jardim Carvalho,23405,1.76,jardim carvalho
Passo D'Areia,22530,1.69,passo d'areia
Morro Santana,21640,1.62,morro santana
Nonoai,20776,1.56,nonoai
Aparício Borges,18966,1.42,aparicio borges
Vila Ipiranga,18041,1.35,vila ipiranga
Camaquã,17935,1.35,camaqua
Santana,17794,1.34,santana
Farrapos,17591,1.32,farrapos
Jardim Itu,17565,1.32,jardim itu
Tristeza,17201,1.29,tristeza
Jardim Leopoldina,16151,1.21,jardim leopoldina
Rio Branco,15710,1.18,rio branco
Glória,15248,1.14,gloria
Cristo Redentor,15144,1.14,cristo redentor
Passo das Pedras,14435,1.08,passo das pedras
Costa e Silva,13585,1.02,costa e silva
Ipanema,13403,1.01,ipanema
Santo Antônio,13105,0.98,santo antonio
Teresópolis,13072,0.98,teresopolis
Cidade Baixa,13014,0.98,cidade baixa
Humaitá,12744,0.96,humaita
Azenha,12064,0.91,azenha
Bela Vista,11819,0.89,bela vista
Vila Jardim,11411,0.86,vila jardim
Jardim Botânico,11349,0.85,jardim botanico
Jardim Sabará,11270,0.85,jardim sabara
Belém Velho,10893,0.82,belem velho
São João,10621,0.8,sao joao
Vila João Pessoa,10431,0.78,vila joao pessoa
Montserrat,10357,0.78,montserrat
Higienópolis,10284,0.77,higienopolis
Bom Fim,10160,0.76,bom fim
Moinhos de Vento,9995,0.75,moinhos de vento
Aberta dos Morros,9854,0.74,aberta dos morros
Belém Novo,9851,0.74,belem novo
Boa Vista,9254,0.69,boa vista
Cascata,9234,0.69,cascata
Ponta Grossa,8939,0.67,ponta grossa
Auxiliadora,8909,0.67,auxiliadora
Floresta,8798,0.66,floresta
Medianeira,8749,0.66,medianeira
Campo Novo,8743,0.66,campo novo
Jardim Lindóia,7587,0.57,jardim lindoia
São Sebastião,7514,0.56,sao sebastiao
Pitinga,7012,0.53,pitinga
São Geraldo,6948,0.52,sao geraldo
Independência,6885,0.52,independencia
Lami,6677,0.5,lami
Parque Santa Fé,6673,0.5,parque santa fe
Jardim do Salso,6576,0.49,jardim do salso
Arquipélago,6411,0.48,arquipelago
Guarujá,6145,0.46,guaruja
Lageado,5676,0.43,lageado
Chácara das Pedras,5639,0.42,chacara das pedras
Chapéu do Sol,5547,0.42,chapeu do sol
Espírito Santo,4953,0.37,espirito santo
Santa Cecília,4640,0.35,santa cecilia
Serraria,4385,0.33,serraria
Jardim Europa,4372,0.33,jardim europa
Três Figueiras,4016,0.3,tres figueiras
Vila Assunção,3974,0.3,vila assuncao
Jardim São Pedro,3320,0.25,jardim sao pedro
Navegantes,3315,0.25,navegantes
Santa Maria Goretti,3035,0.23,santa maria goretti
Boa Vista do Sul,2703,0.2,boa vista do sul
Agronomia,2677,0.2,agronomia
Jardim Isabel,2592,0.19,jardim isabel
Extrema,2360,0.18,extrema
Jardim Floresta,2228,0.17,jardim floresta
Praia de Belas,1522,0.11,praia de belas
Sétimo Céu,1166,0.09,setimo ceu
Vila Conceição,969,0.07,vila conceicao
Anchieta,791,0.06,anchieta
Farroupilha,774,0.06,farroupilha
São Caetano,733,0.05,sao caetano
Pedra Redonda,570,0.04,pedra redonda
"Fonte: IBGE, Censo Demográfico 2022",0,0.0,"fonte: ibge, censo demografico 2022"
Elaboração: CAPPR/DPEMR/SMPAE/PMPA,0,0.0,elaboracao: cappr/dpemr/smpae/pmpa
